player,birthplace
Nicolo Melli,"Reggio Emilia, Italy"
Anzejs Pasecniks,"Riga, Latvia"
Steven Adams,"Rotorua, New Zealand"
Ian Mahinmi,"Rouen, France"
Davis Bertans,"Rujiena, Latvia"
Goga Bitadze,"Sagarejo, Georgia"
Danilo Gallinari,"Saint'Angelo Lodigiano, Italy"
Evan Fournier,"Saint-Quentin, France"
Rudy Gobert,"Saint-Quentin, France"
Daniel Theis,"Salzgitter, Germany"
Marco Belinelli,"San Giovanni in Persiceto, Italy"
Trey Lyles,"Saskatoon, Canada"
Dario Saric,"Sibenik, Croatia"
Nikola Jokic,"Sombor, Serbia (FRMR Yugoslavia)"
Ante Zizic,"Split, Croatia"
Norvel Pelle,"St. John's, Antigua and Barbuda"
Kyrie Irving,"Sydney, Australia"
TJ Leaf,"Tel Aviv, Isreal"
Kelly Olynyk,"Toronto, Canada"
RJ Barrett,"Toronto, Canada"
Shai Gilgeous-Alexander,"Toronto, Canada"
Dwight Powell,"Toronto, Canada"
Nickeil Alexander-Walker,"Toronto, Canada"
Andrew Wiggins,"Toronto, Canada"
Rui Hachimura,"Toyama, Japan"
Jusuf Nurkic,"Tuzla, Bosnia and Herzegovina"
Jonas Valanciunas,"Utena, Lithuania"
Brandon Clarke,"Vancouver, Canada"
Lauri Markkanen,"Vantaa, Finland"
Thabo Sefolosha,"Vevey, Switzerland"
Jakob Poeltl,"Vienna, Austria"
Thon Maker,"Wau, Sudan"
Maxi Kleber,"Wurzburg, Germany"
Joel Embiid,"Yaounde, Cameroon"
Yuta Watanabe,"Yokohama, Japan"
Luka Samanic,"Zagreb, Croatia"
