player,birthplace
Ruben Boumtje-Boumtje,"Edéa, Cameroon"
Alton Ford,"Houston, Texas"
Andre Hutson,"Dayton, Ohio"
Jarron Collins,"Northridge, California"
Kenny Satterfield,"New York City, New York"
Maurice Jeffers,"Morrilton, Arkansas"
Robertas Javtokas,"Šiauliai, Lithuania SSR, Soviet Union"
Alvin Jones,"Luxembourg, Luxembourg"
Bryan Bracey,"Chicago, Illinois"
Carlos Arroyo,"Fajardo, Puerto Rico"
Charlie Bell,"Flint, Michigan"
Tierre Brown,"Iowa, Louisiana"
Yao Ming,Shanghai
Jay Williams,"Plainfield, New Jersey"
Mike Dunleavy Jr.,"Fort Worth, Texas"
Drew Gooden,"Oakland, California"
Nikoloz Tskitishvili,"Tbilisi, Georgia SSR, Soviet Union"
Dajuan Wagner,"Camden, New Jersey"
Nenê,"São Carlos, Brazil"
Chris Wilcox,"Whiteville, North Carolina"
Amar'e Stoudemire,"Lake Wales, Florida"
Caron Butler,"Racine, Wisconsin"
Jared Jeffries,"Bloomington, Indiana"
Melvin Ely,"Harvey, Illinois"
Marcus Haislip,"Lewisburg, Tennessee"
Fred Jones,"Malvern, Arkansas"
Boštjan Nachbar,"Slovenj Gradec, SR Slovenia, SFR Yugoslavia"
Jiří Welsch,"Pardubice, Czechoslovakia"
Juan Dixon,"Baltimore, Maryland"
Curtis Borchardt,"Buffalo, New York"
Ryan Humphrey,"Tulsa, Oklahoma"
Kareem Rush,"Kansas City, Missouri"
Qyntel Woods,"Memphis, Tennessee"
Casey Jacobsen,"Glendora, California"
Tayshaun Prince,"Compton, California"
Nenad Krstić,"Kraljevo, SR Serbia, SFR Yugoslavia"
Frank Williams,"Peoria, Illinois"
John Salmons,"Philadelphia, Pennsylvania"
Chris Jefferies,"Fresno, California"
Dan Dickau,"Portland, Oregon"
Steve Logan,"Cleveland, Ohio"
Roger Mason Jr.,"Washington, D.C."
Robert Archibald,"Paisley, Renfrewshire, Scotland"
Vincent Yarbrough,"Cleveland, Tennessee"
Dan Gadzuric,"The Hague, Netherlands"
Carlos Boozer,"Aschaffenburg, West Germany"
Miloš Vujanić,"Loznica, SFR Yugoslavia"
David Andersen,"Melbourne, Victoria"
Tito Maddox,"Compton, California"
Rod Grizzard,"Birmingham, Alabama"
Juan Carlos Navarro,"Sant Feliu de Llobregat, Spain"
Mario Kasun,"Vinkovci, SR Croatia, SFR Yugoslavia"
Ronald Murray,"Philadelphia, Pennsylvania"
Jason Jennings,"Dallas, Texas"
Lonny Baxter,"Silver Spring, Maryland"
Sam Clancy,"Pittsburgh, Pennsylvania"
Matt Barnes,"Santa Clara, California"
Jamal Sampson,"Inglewood, California"
Chris Owens,"Akron, Ohio"
Peter Fehse,"Halle, East Germany"
Darius Songaila,"Marijampolė, Lithuanian SSR, Soviet Union"
Federico Kammerichs,"Goya, Argentina"
Marcus Taylor,"Lansing, Michigan"
Rasual Butler,"Philadelphia, Pennsylvania"
Tamar Slay,"Beckley, West Virginia"
Mladen Šekularac,"Bar, SR Montenegro, SFR Yugoslavia"
Luis Scola,"Buenos Aires, Argentina"
Randy Holcomb,"Chicago, Illinois"
Corsley Edwards,"Baltimore, Maryland"
Cory Bradford,"Memphis, Tennessee"
Devin Brown,"Salt Lake City, Utah"
LeBron James,"Akron, Ohio"
Darko Miličić,"Novi Sad, SR Serbia, SFR Yugoslavia"
Carmelo Anthony,"Brooklyn, New York"
Chris Bosh,"Dallas, Texas"
Dwyane Wade,"Chicago, Illinois"
Chris Kaman,"Grand Rapids, Michigan"
Kirk Hinrich,"Sioux City, Iowa"
T. J. Ford,"Houston, Texas"
Michael Sweetney,"Washington, D.C."
Jarvis Hayes,"Atlanta, Georgia"
